,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate,h_county,year,h_tract,paradise
0,60070001021000,289,71,159,59,75,99,115,6,2,5,13,12,13,49,7,5,7,7,17,8,13,25,30,8,31,12,19,269,5,5,6,0,4,254,35,20,42,76,80,147,142,20230321,6007,2013,600700010,0
1,60070001021001,161,25,82,54,43,51,67,7,0,0,2,7,4,11,1,4,2,3,10,2,2,26,49,2,13,7,9,149,2,3,6,1,0,136,25,18,38,44,36,58,103,20230321,6007,2013,600700010,0
2,60070001021002,4,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,0,0,0,0,0,4,0,0,1,2,0,3,1,20230321,6007,2013,600700010,0
3,60070001021003,23,6,12,5,5,10,8,0,0,0,1,0,0,0,0,1,1,1,1,0,0,5,6,1,4,2,0,22,0,0,1,0,0,18,5,0,6,8,3,8,15,20230321,6007,2013,600700010,0
4,60070001021004,27,6,16,5,11,8,8,0,0,1,2,0,2,4,0,0,0,1,1,1,0,0,4,0,5,3,3,26,0,0,1,0,0,27,0,4,4,9,4,11,16,20230321,6007,2013,600700010,0
5,60070001021007,81,23,35,23,31,26,24,1,0,0,1,3,2,8,0,2,3,4,4,0,3,9,21,0,9,4,7,74,1,1,1,0,4,70,11,6,18,20,14,36,45,20230321,6007,2013,600700010,0
6,60070001021008,4,2,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,0,0,0,4,0,0,2,0,0,1,3,20230321,6007,2013,600700010,0
7,60070001021009,18,5,7,6,3,8,7,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,6,1,1,1,2,17,0,0,0,0,1,18,0,0,5,3,5,6,12,20230321,6007,2013,600700010,0
8,60070001021010,11,3,6,2,2,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,1,1,2,11,0,0,0,0,0,10,1,0,1,3,4,5,6,20230321,6007,2013,600700010,0
9,60070001021011,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,20230321,6007,2013,600700010,0
10,60070001021012,5,2,3,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,4,1,0,1,2,0,3,2,20230321,6007,2013,600700010,0
11,60070001022000,105,30,52,23,32,28,45,2,0,0,5,5,4,13,1,2,0,0,6,0,2,19,24,3,7,4,8,97,1,0,7,0,0,91,14,8,15,29,23,54,51,20230321,6007,2013,600700010,0
12,60070001022001,12,3,7,2,5,4,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,3,0,1,0,1,6,3,0,2,0,1,11,1,1,2,4,2,6,6,20230321,6007,2013,600700010,0
13,60070001022003,23,4,9,10,9,8,6,0,0,0,0,1,0,6,0,2,0,1,1,0,0,3,6,2,1,0,0,22,0,0,0,0,1,17,6,1,3,6,9,15,8,20230321,6007,2013,600700010,0
14,60070001022004,53,12,28,13,20,13,20,2,0,1,1,4,2,4,0,0,0,1,2,1,1,8,11,1,7,3,4,51,0,1,1,0,0,46,7,6,9,17,9,21,32,20230321,6007,2013,600700010,0
15,60070001022005,124,18,73,33,31,45,48,7,0,0,4,8,5,6,4,0,3,1,5,0,6,25,28,4,11,5,2,111,3,0,5,1,4,105,19,15,19,42,30,59,65,20230321,6007,2013,600700010,0
16,60070001022006,50,9,32,9,13,18,19,3,0,0,3,2,2,2,2,0,1,1,1,0,1,9,11,0,6,1,5,42,2,1,5,0,0,45,5,4,11,15,11,21,29,20230321,6007,2013,600700010,0
17,60070001022007,64,14,30,20,23,13,28,2,0,1,1,2,1,9,0,0,1,1,2,0,2,18,6,1,8,4,5,53,0,1,9,0,1,57,7,6,8,22,14,31,33,20230321,6007,2013,600700010,0
18,60070001022008,52,12,29,11,17,18,17,2,0,0,2,1,3,2,0,1,2,3,1,0,3,9,15,0,6,2,0,47,1,3,1,0,0,44,8,4,7,15,14,27,25,20230321,6007,2013,600700010,0
19,60070001023000,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,1,20230321,6007,2013,600700010,0
