name,outcome,did_coef,did_se,did_pvalue,paradise_coef,r_squared,n_obs
Total Jobs,c000,-24.70597849546891,1.8215310416220676,6.609108573774638e-42,15.148304677871213,0.006040606726360864,36283
Construction,cns04,-1.1342317563473434,0.11249723601257192,6.615380441727179e-24,0.8439620360411049,0.01083923823116395,36283
Retail Trade,cns07,-2.984759640833864,0.2689027290026247,1.2576085607157355e-28,2.056858636976359,0.005664715355690464,36283
Educational Services,cns15,-1.9874840707942016,0.17916739634828757,1.3582866534219791e-28,0.7444084691597843,0.006415272331589339,36283
Health Care,cns16,-7.603381133347819,0.4263020966810723,3.7358243070482086e-71,5.665820090189906,0.014804624495658891,36283
Accommodation & Food,cns18,-2.23949540974993,0.17946801585200284,9.778611964782492e-36,1.05437486350036,0.006729201521749273,36283
Public Administration,cns20,-1.224368794096901,0.11452256727283575,1.120703887190554e-26,0.5561857119671356,0.0037647623021870302,36283
Low Earnings,ce01,-7.034859472685851,0.528305588475383,1.8712737015200232e-40,4.920403104332112,0.0179684603060688,36283
Medium Earnings,ce02,-8.593270800944266,0.6599986244217613,9.400528998068884e-39,5.80182299362583,0.00894010868438222,36283
High Earnings,ce03,-9.07784822183878,0.6759966766503921,4.0980458718114973e-41,4.42607857991327,0.011632326431398665,36283
