
="",="All",="Low Earnings",="Medium Earnings",="High Earnings"

="Post-Fire",="-13.95",="-3.281",="-4.412",="-6.252"
="",="(-1.42)",="(-1.55)",="(-1.19)",="(-1.34)"
="Paradise",="0.858",="2.105",="0.689",="-1.936"
="",="(0.14)",="(1.68)",="(0.31)",="(-0.65)"
="% Prime-Age",="7.552***",="-0.540",="2.933***",="5.159***"
="",="(4.26)",="(-1.15)",="(4.86)",="(6.09)"
="% High School",="-23.90***",="-11.38***",="-10.54***",="-1.978"
="",="(-9.52)",="(-13.24)",="(-11.97)",="(-1.82)"
="% College",="31.61***",="0.305",="5.055**",="26.25***"
="",="(5.23)",="(0.20)",="(2.81)",="(8.47)"
="% Female",="4.941*",="4.690***",="0.615",="-0.364"
="",="(2.24)",="(10.05)",="(0.82)",="(-0.30)"
="_cons",="44.75***",="17.78***",="19.02***",="7.944***"
="",="(10.49)",="(13.95)",="(12.65)",="(3.90)"

="N",="11958",="11958",="11958",="11958"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
