year,coc_number,coc_name,total_homeless,sheltered,unsheltered,emergency_shelter,transitional_housing
2007,CA-519,"Chico, Paradise/Butte County CoC",1478.0,936.0,542.0,759.0,177.0
2008,CA-519,"Chico, Paradise/Butte County CoC",592.0,322.0,270.0,141.0,181.0
2009,CA-519,"Chico, Paradise/Butte County CoC",689.0,303.0,386.0,124.0,179.0
2010,CA-519,"Chico, Paradise/Butte County CoC",742.0,347.0,395.0,150.0,197.0
2011,CA-519,"Chico, Paradise/Butte County CoC",897.0,357.0,540.0,178.0,179.0
2012,CA-519,"Chico, Paradise/Butte County CoC",897.0,357.0,540.0,195.0,162.0
2013,CA-519,"Chico, Paradise/Butte County CoC",712.0,289.0,423.0,179.0,110.0
2014,CA-519,"Chico, Paradise/Butte County CoC",696.0,273.0,423.0,171.0,102.0
2015,CA-519,"Chico, Paradise/Butte County CoC",571.0,286.0,285.0,211.0,75.0
2016,CA-519,"Chico, Paradise/Butte County CoC",574.0,289.0,285.0,182.0,107.0
2017,CA-519,"Chico, Paradise/Butte County CoC",1195.0,450.0,745.0,285.0,165.0
2018,CA-519,"Chico, Paradise/Butte County CoC",1125.0,380.0,745.0,274.0,106.0
2019,CA-519,"Chico, Paradise/Butte County CoC",1266.0,428.0,838.0,286.0,142.0
2020,CA-519,"Chico, Paradise/Butte County CoC",1274.0,436.0,838.0,280.0,156.0
2021,CA-519,"Chico, Paradise/Butte County CoC",499.0,499.0,0.0,321.0,178.0
2022,CA-519,"Chico, Paradise/Butte County CoC",1006.0,418.0,588.0,244.0,174.0
2023,CA-519,"Chico, Paradise/Butte County CoC",1237.0,657.0,580.0,506.0,151.0
2024,CA-519,"Chico, Paradise/Butte County CoC",1381.0,801.0,580.0,641.0,160.0
