
="",="All",="Construction",="Retail",="Education",="Healthcare",="Accomodation & Food",="Public Administration"

="Post-Fire",="-13.95",="-0.404",="-2.443*",="0.728",="-7.906",="-2.108*",="0.0670"
="",="(-1.42)",="(-1.16)",="(-2.14)",="(0.35)",="(-0.95)",="(-2.24)",="(0.08)"
="Paradise",="0.858",="-0.870***",="-0.184",="-2.573*",="15.10**",="-0.873",="-2.363***"
="",="(0.14)",="(-5.46)",="(-0.26)",="(-2.45)",="(2.96)",="(-1.60)",="(-5.27)"
="% Prime-Age",="7.552***",="1.261***",="-0.382",="-1.266*",="3.146***",="-1.313***",="2.360***"
="",="(4.26)",="(7.07)",="(-1.49)",="(-2.22)",="(4.34)",="(-5.57)",="(5.20)"
="% High School",="-23.90***",="-0.616***",="-6.555***",="0.663",="-2.496***",="-9.608***",="2.060***"
="",="(-9.52)",="(-3.38)",="(-10.88)",="(0.48)",="(-4.05)",="(-14.47)",="(4.57)"
="% College",="31.61***",="0.0146",="-4.967***",="22.32***",="8.230***",="-8.430***",="7.793***"
="",="(5.23)",="(0.05)",="(-7.19)",="(6.01)",="(3.62)",="(-11.49)",="(5.38)"
="% Female",="4.941*",="-3.727***",="-1.579***",="4.957***",="13.71***",="0.955***",="-0.162"
="",="(2.24)",="(-16.05)",="(-5.03)",="(8.91)",="(8.90)",="(4.30)",="(-0.35)"
="_cons",="44.75***",="3.327***",="9.996***",="0.171",="-0.962",="10.61***",="-0.759"
="",="(10.49)",="(11.97)",="(11.40)",="(0.07)",="(-0.52)",="(12.78)",="(-0.80)"

="N",="11958",="11958",="11958",="11958",="11958",="11958",="11958"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
