tract,effect,pre_rmse
06095252104,10.836023299861836,0.9660368354520653
06073018516,-3.6770313012185447,1.820320312859144e-06
06001444301,38.403754502587,2.49460267212383e-06
06065042004,2.7264799872786867,3.295955818376381e-06
06067001602,0.6606879253303451,9.732032435953545e-07
06053001700,38.51884263788664,3.322374946560164
06059042206,11.974231503437055,1.1561322668117284e-06
06085504412,-15.448119435051158,2.147899755660664e-06
06037206301,-1.095840367490484,1.4055100138395184e-06
06077005140,14.312567901887714,4.990733817265971e-06
06037267403,45.67804414808057,1.3759206356055134e-06
06095250900,2.8552666200797936,1.1914255360156606e-06
06037433302,-0.6636777702272061,7.331374092813266e-07
06059052411,11.239242874669635,1.3390920366810532e-06
06065043503,-5.801206105699086,1.290221372502241e-06
06037192300,-11.738089884581642,2.9108810202397066e-06
06037575902,20.93827760567731,1.0528800779625671e-06
06073019404,8.370847588703402,2.790062863158977e-06
06073008324,-3.0278315879058963,1.2585627947165704e-06
06037190901,28.679592307868162,1.5085911354027531e-06
06071003000,-9.307524014303642,1.26650931239314e-06
06041102100,-35.30677778642919,7.430989547585918e-06
06081601301,-16.530369078581163,1.3399881807519747e-06
06013392300,0.41481901239916397,1.338834765021403e-06
06075061508,7.305247148764444,9.06627641861863e-07
06073004200,11.663046375097881,6.776219615662255e-06
06101050603,3.8765172361080142,8.532681557911046e-07
06073011602,4.748879312489095,1.0846964681196646e-06
06081613300,-5.886666980433506,1.2602062738845252e-06
06037127711,-15.186546056912924,3.1064574333729743e-06
06037134422,-9.04008587704576,1.2167888029006332e-06
06001450745,-0.9475241505031259,1.2359558118727658e-06
06001403402,3.970876791247907,1.3151763476738316e-06
06057001205,20.152459538316624,1.3991807291884853e-06
06065043217,45.95593374736262,1.1851059121293544e-06
06059042315,7.224637243187343,1.1240846848712626e-06
06073017702,-5.164795934236039,1.1147138849995246e-06
06037197500,21.713381115963525,4.788065365026955e-06
06085511704,-21.845880530210252,1.1357027242233792e-06
06073013422,-1.7673649052719151,1.1160541179271177e-06
06075033100,-2.8753572569232793,1.0333472924600172e-06
06037431800,-4.9456885273164675,1.264548920070483e-06
06037264102,15.540291691365809,1.423280915730191e-06
06025011302,-14.104420766243322,1.857207232903348e-06
06037433200,-9.086986915646097,1.53985299261081e-06
06059088601,-1.7583697335195798,3.0129225759178833e-06
06037106114,4.747543306665025,1.1688165948442955e-06
06099002004,38.521886163483885,9.314245955349169e-07
06059052513,6.579706441720388,1.1545491284673227e-06
06077004310,0.12291201570401142,1.3513476095306178e-06
06079011600,-22.590979681187523,1.6035297995786107e-06
06097151403,5.319038518152915,1.275068558062268e-06
06081613000,6.744798519007395,1.2844134258553053e-06
06079010206,15.203061360527395,1.3790170291825753e-06
06073017068,-9.586474459891775,1.9588254073007163e-06
06059075301,-76.54751049841258,1.451807283427147e-06
06037651002,-10.927129887675125,1.3284126379577478e-06
06085509110,-1.1077256947225589,1.349875844177986e-06
06037408301,-34.92261225746829,4.582267230454543e-05
06075020101,-122.03063982880424,258.6185036902062
06075017102,-13.244724031116489,1.5398798545745967e-06
06065042009,11.27065999914669,1.094670835228051e-06
06037134905,0.15827940032379736,6.345684184855555e-06
06019004405,18.69687618729986,1.1552925064785644e-06
06041117000,-0.7642876070256884,1.540156648478833e-06
06073017501,2.960612907077981,1.2772233849719529e-06
06037670702,-31.385747965084292,1.259292605159705e-06
06075012801,-26.53523415272971,1.2418200612704614e-06
06099000601,-2.784322232571822,1.3467140040421485e-06
06037405302,-7.871178412999257,1.0535924339834846e-06
06113010510,-7.0571336697879685,2.4557759831777296e-06
06037265420,17.901018154128092,0.9616382034407198
06085510002,0.9755796851450791,1.2645052747286321e-06
06067008130,-14.350845943304675,1.0840991428882032e-06
06037599000,-29.003454691113394,1.3031059550335143e-06
06037534301,7.989541486483245,1.973425634420291e-06
06073012600,-9.517581244401647,1.6571702593615505e-06
06061021501,-7.552970283473938,1.3499789730756272e-06
06059021810,2.147361854865489,1.228605141769538e-06
06029005003,-27.00993606907568,1.3322984556245936e-06
06103000900,-12.268198941142453,9.852615859599196e-07
06059052434,-38.775898701448234,1.469539960205171e-06
06075025900,4.1092901352574405,4.006708432303158e-06
06037191820,-8.255537054507299,1.2358175077760914e-06
06071000103,4.741465371117629,1.7221592976915618e-06
06037530005,-0.537050081612224,5.726014149071408e-06
06037228800,-27.628939986719622,2.0097698814814803e-06
06029006301,-5.149165509947581,1.1886770564176852e-06
06097152100,2.3221649160980538,0.39704156303142024
06053012700,-16.902149976943644,1.543908638343135e-06
06037532101,4.109407584625155,1.010689191996702
06059110301,-9.81909085771512,1.2249491375683997e-06
06085511905,10.040925401811474,1.7092666910665963e-06
06029006600,-1.5385357194323575,1.4309044050091036e-06
06037554516,8.057065988781837,1.1950152707554728e-06
06059062652,2.9607944476618733,2.0647475418599945e-06
06001423100,-2.4932242604717594,4.101109876171274e-06
06073008361,-6.930985072363493,3.600484638115337e-06
06097153808,-0.11323541175245234,1.217279314033305e-06
06037294510,12.345433809208231,1.278279800689016e-06
