year,actual,synthetic,gap,period
2013,89.05953619286545,89.05953484001546,1.3528499920312242e-06,pre
2014,90.47094576679109,90.47094436784883,1.3989422598115198e-06,pre
2015,93.90768728711579,93.9076858787374,1.4083783952401063e-06,pre
2016,98.64365987476799,98.64365841364187,1.4611261178743007e-06,pre
2017,100.0,100.0,0.0,pre
2018,102.13343123457545,103.09192970601626,-0.9584984714408051,post
2019,102.00085663586857,102.21331862856734,-0.21246199269876342,post
2020,93.76899386077628,95.46581695644707,-1.6968230956707941,post
2021,91.62128536172469,95.16128749487058,-3.54000213314589,post
2022,97.18941850741398,100.13604179279207,-2.946623285378095,post
2023,98.29896591813008,104.25653819439822,-5.957572276268138,post
