zone,zone_name,year,c000,cns04,cns07,cns15,cns16,cns18,cns20
0,Paradise,2013,5023,95,508,357,2652,425,6
0,Paradise,2014,5205,105,515,336,2868,409,4
0,Paradise,2015,5334,136,578,360,2974,418,0
0,Paradise,2016,5414,120,596,392,2993,423,5
0,Paradise,2017,5258,157,540,407,2795,437,2
0,Paradise,2018,5135,161,410,455,2911,349,1
0,Paradise,2019,2440,130,172,409,1153,84,1
0,Paradise,2020,2267,168,158,309,974,147,1
0,Paradise,2021,2100,181,208,270,805,134,0
0,Paradise,2022,1983,196,195,311,602,164,0
0,Paradise,2023,2063,171,175,321,616,205,0
1,Chico,2013,43665,1833,5625,4528,9142,5063,655
1,Chico,2014,44357,2228,5811,4794,9191,4999,556
1,Chico,2015,46042,2306,6060,4947,10216,5039,614
1,Chico,2016,48364,2513,6192,4924,10694,5543,552
1,Chico,2017,49029,2768,6641,5125,10904,5694,587
1,Chico,2018,50075,2762,6752,5244,11260,6170,592
1,Chico,2019,50010,2991,6773,4617,11772,5673,612
1,Chico,2020,45974,2829,5995,4653,11437,4575,613
1,Chico,2021,44921,2836,5967,4358,10776,4489,616
1,Chico,2022,47651,2896,6220,4733,11180,5373,614
1,Chico,2023,48195,2763,5850,4931,12154,5138,612
2,Other Butte,2013,23777,744,1766,3932,4763,1443,2984
2,Other Butte,2014,24210,795,1796,4048,4768,2194,3010
2,Other Butte,2015,25211,812,1907,4163,4622,2699,3509
2,Other Butte,2016,25480,921,1925,4116,4819,2637,3237
2,Other Butte,2017,25692,944,1928,4162,4826,2615,3238
2,Other Butte,2018,26271,1500,2025,4136,5029,2665,3141
2,Other Butte,2019,25415,1191,1979,4057,4855,2636,3050
2,Other Butte,2020,24978,1216,1982,4004,4864,2523,3065
2,Other Butte,2021,24475,1259,2199,3577,4781,2298,3117
2,Other Butte,2022,24938,1253,2085,3660,4936,2409,3074
2,Other Butte,2023,24914,1186,2113,3836,5359,2468,3213
3,Rest of CA,2013,15110505,600738,1522242,1354739,2096761,1397046,731265
3,Rest of CA,2014,15540897,676287,1556582,1389085,2140563,1475652,741765
3,Rest of CA,2015,15972161,728433,1578002,1417253,2220401,1530314,721252
3,Rest of CA,2016,16505231,789098,1606795,1436521,2337525,1597845,721480
3,Rest of CA,2017,16734246,816207,1614335,1461220,2416185,1639383,728946
3,Rest of CA,2018,17077195,871148,1598593,1480599,2490466,1681708,724357
3,Rest of CA,2019,17291034,902327,1568213,1499593,2571520,1661641,733536
3,Rest of CA,2020,16355501,883172,1473446,1462915,2573864,1283074,738422
3,Rest of CA,2021,16418651,913986,1525522,1357674,2618329,1239544,726251
3,Rest of CA,2022,17579318,939782,1558677,1464428,2697816,1556151,728268
3,Rest of CA,2023,17780177,927523,1543626,1524315,2850408,1651808,744722
