year,paradise,synthetic,gap,period
2013,95.53062000760745,95.53061784764317,2.1599642821001908e-06,pre
2014,98.9920121719285,98.99201053505726,1.6368712323355794e-06,pre
2015,101.44541650817801,101.44541421520267,2.2929753384914875e-06,pre
2016,102.96690756941803,102.96690633302964,1.236388385450482e-06,pre
2017,100.0,100.00000000000003,-2.842170943040401e-14,pre
2018,97.66070749334348,102.8757525125773,-5.215045019233813,post
2019,46.40547736782047,101.35638146840493,-54.95090410058447,post
2020,43.11525294788893,94.12477758201047,-51.00952463412153,post
2021,39.9391403575504,96.18797841847592,-56.24883806092552,post
2022,37.71395968048688,103.11460014635398,-65.4006404658671,post
2023,39.23545074172689,103.5276022115786,-64.2921514698517,post
